"Part";"Value";"Device";"Package";"Description";"";
"C1";"22nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C2";"22nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C3";"100nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C4";"100nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C5";"100nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C6";"100nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C7";"100nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C8";"2.2uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C9";"2.2uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C10";"2.2uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C11";"2.2uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C12";"2.2uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C13";"2.2uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C14";"2.2uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C15";"2.2uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C36";"47uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C37";"4.7uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C38";"1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C39";"10uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C49";"100nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C51";"10nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C55";"33nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C56";"33nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C59";"20nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C60";"20nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C61";"20nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C62";"20nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C63";"20nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C64";"20nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C65";"1nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C66";"1nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C67";"1nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C68";"1nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C69";"1nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C70";"1nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C73";"1uF";"C_CHIP-1206(3216-METRIC)";"CAPC3216X135";"Capacitor - Generic";"";
"C74";"1uF";"C_CHIP-1206(3216-METRIC)";"CAPC3216X135";"Capacitor - Generic";"";
"C75";"1uF";"C_CHIP-1206(3216-METRIC)";"CAPC3216X135";"Capacitor - Generic";"";
"C76";"1uF";"C_CHIP-1206(3216-METRIC)";"CAPC3216X135";"Capacitor - Generic";"";
"D1";"1N4448WS";"1N4448WS";"SOD2412X120N";"Small Signal Diode";"";
"D12";"M1-CHAN";"M1-CHAN";"M1-CHAN";"SMD Rectifier";"";
"D13";"M1-CHAN";"M1-CHAN";"M1-CHAN";"SMD Rectifier";"";
"D14";"M1-CHAN";"M1-CHAN";"M1-CHAN";"SMD Rectifier";"";
"D15";"M1-CHAN";"M1-CHAN";"M1-CHAN";"SMD Rectifier";"";
"D16";"M1-CHAN";"M1-CHAN";"M1-CHAN";"SMD Rectifier";"";
"D17";"M1-CHAN";"M1-CHAN";"M1-CHAN";"SMD Rectifier";"";
"D18";"M1-CHAN";"M1-CHAN";"M1-CHAN";"SMD Rectifier";"";
"D19";"M1-CHAN";"M1-CHAN";"M1-CHAN";"SMD Rectifier";"";
"JP2";"PINHD-2X3";"PINHD-2X3";"2X03";"PIN HEADER";"";
"JP3";"PINHD-1X5";"PINHD-1X5";"1X05";"PIN HEADER";"";
"JP4";"PINHD-1X4";"PINHD-1X4";"1X04";"PIN HEADER";"";
"R1";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R2";"1.4K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R35";"1.74K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R36";"5.1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R62";"125K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R63";"450K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R64";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R65";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R66";"50K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R67";"50K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R68";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R69";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
