"Part";"Value";"Device";"Package";"Description";"";
"A1";"PEC11R-DB";"PEC11R-DB";"PEC11R-DB";"Rotary EncoderDaughter Board";"";
"A2";"PEC11R-DB";"PEC11R-DB";"PEC11R-DB";"Rotary EncoderDaughter Board";"";
"ACT-SW";"ILS-TB180-60";"ILS-TB180-60";"ILS-TB";"Illuminated Switch";"";
"BKL-POT";"PTV09A-2020F-A103";"PTV09A-2020F-A103";"PTV09A-2020F";"";"";
"C1";"10uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C2";"10uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C3";"47uF";"C-POL_ECAP-8.5MM";"CAPAE830X1050N";"Capacitor Polarised - Generic";"";
"C4";"47uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C5";"10nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C6";"100nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C7";"10uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C8";"47uF";"C-POL_ECAP-8.5MM";"CAPAE830X1050N";"Capacitor Polarised - Generic";"";
"C9";"0.1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C10";"1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C11";"0.1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C12";"1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C13";"10uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C14";"47uF";"C-POL_ECAP-8.5MM";"CAPAE830X1050N";"Capacitor Polarised - Generic";"";
"C15";"100uF";"C-POL_ECAP-10.5MM";"CAPAE1030X1050N";"Capacitor Polarised - Generic";"";
"C16";"150uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C17";"100nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C18";"10uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C19";"0.1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C20";"1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C21";"0.1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C22";"1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C23";"10uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C24";"5nF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"C25";"220uF";"SME6-SME";"6-SME";"";"";
"C26";"33nF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"C27";"10uF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"C28";"1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C29";"1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C30";"1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C31";"1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C32";"1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C33";"22nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C34";"22nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C35";"100nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C36";"100nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C37";"100nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C38";"1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C39";"100nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C40";"22pF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C41";"1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C42";"330nF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
