"Ref","Value","Footprint","Datasheet","Pins","Library","Symbol","PartNumber"
"C1","${D-CAP}","Capacitor_SMD:C_0603_1608Metric","~","2","Device","C_Small",""
"C2","${D-CAP}","Capacitor_SMD:C_0603_1608Metric","~","2","Device","C_Small",""
"C3","${D-CAP}","Capacitor_SMD:C_0603_1608Metric","~","2","Device","C_Small",""
"C4","${D-CAP}","Capacitor_SMD:C_0603_1608Metric","~","2","Device","C_Small",""
"C5","${D-CAP}","Capacitor_SMD:C_0805_2012Metric","~","2","Device","C_Small",""
"C6","${D-CAP}","Capacitor_SMD:C_0805_2012Metric","~","2","Device","C_Small",""
"C7","${D-CAP}","Capacitor_SMD:C_0805_2012Metric","~","2","Device","C_Small",""
"C8","${D-CAP}","Capacitor_SMD:C_0805_2012Metric","~","2","Device","C_Small",""
"C9","1uF","Capacitor_SMD:C_0603_1608Metric","~","2","Device","C_Small",""
"D1","IN4848","Diode_SMD:D_SOD-323_HandSoldering","~","2","Device","D_Small",""
"D-AUDIO-SEL1","GREEN","Daxxn_LEDs:LED_PLCC-2","~","2","Device","LED",""
"D-DBG1","RED","Daxxn_LEDs:LED_PLCC-2","~","2","Device","LED",""
"D-STA1","ORANGE","Daxxn_LEDs:LED_PLCC-2","~","2","Device","LED",""
"D-STRIP-EN1","GREEN","Daxxn_LEDs:LED_PLCC-2","~","2","Device","LED",""
"D-VCC1","YELLOW","Daxxn_LEDs:LED_PLCC-2","~","2","Device","LED",""
"D-VDRIVE1","YELLOW","Daxxn_LEDs:LED_PLCC-2","~","2","Device","LED",""
"DA1","LTA-1000HR","Display:HDSP-48xx","C:\Users\Daxxn\Documents\Electrical\Datasheets\LTA-1000HR.pdf","20","Daxxn_Displays","LTA-1000HR",""
"DS1","WC1602A","Display:WC1602A","http://www.wincomlcd.com/pdf/WC1602A-SFYLYHTC06.pdf","16","Display_Character","WC1602A",""
"ENC1","Encoder1","Daxxn_Switches:PEC12R","~","5","Device","RotaryEncoder_Switch",""
"ENC2","Encoder2","Daxxn_Switches:PEC12R","~","5","Device","RotaryEncoder_Switch",""
"H1","M2.5","MountingHole:MountingHole_2.5mm_Pad","~","1","Mechanical","MountingHole_Pad",""
"H2","M2.5","MountingHole:MountingHole_2.5mm_Pad","~","1","Mechanical","MountingHole_Pad",""
"H3","M2.5","MountingHole:MountingHole_2.5mm_Pad","~","1","Mechanical","MountingHole_Pad",""
"H4","M2.5","MountingHole:MountingHole_2.5mm_Pad","~","1","Mechanical","MountingHole_Pad",""
"J1","Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","4","Connector","Conn_01x04_Male",""
"J2","DEBUG-CONN","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~","4","Connector","Conn_01x04_Male",""
"J3","Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","4","Connector","Conn_01x04_Male",""
"J4","B24B-PHDSS(LF)(SN)","Daxxn_Connectors:B24B-PHDSS(LF)(SN)","~","24","Connector_Generic","Conn_02x12_Odd_Even",""
