"Source:","C:\Users\Daxxn\Documents\Electrical\KiCad\Designs\Projects\LightDrum\LightDrumInterface\LightDrumInterface.kicad_sch"
"Date:","10/9/2022 2:12:27 PM"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","59"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","${D-CAP}","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","~"
"","","C2","${D-CAP}","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","~"
"","","C3","${D-CAP}","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","~"
"","","C4","${D-CAP}","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","~"
"","","C5","${D-CAP}","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C6","${D-CAP}","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C7","${D-CAP}","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C8","${D-CAP}","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C9","1uF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","~"
"","","D1","IN4848","Device:D_Small","Diode_SMD:D_SOD-323_HandSoldering","~"
"","","D-AUDIO-SEL1","GREEN","Device:LED","Daxxn_LEDs:LED_PLCC-2","~"
"","","D-DBG1","RED","Device:LED","Daxxn_LEDs:LED_PLCC-2","~"
"","","D-STA1","ORANGE","Device:LED","Daxxn_LEDs:LED_PLCC-2","~"
"","","D-STRIP-EN1","GREEN","Device:LED","Daxxn_LEDs:LED_PLCC-2","~"
"","","D-VCC1","YELLOW","Device:LED","Daxxn_LEDs:LED_PLCC-2","~"
"","","D-VDRIVE1","YELLOW","Device:LED","Daxxn_LEDs:LED_PLCC-2","~"
"","","DA1","LTA-1000HR","Daxxn_Displays:LTA-1000HR","Display:HDSP-48xx","C:\Users\Daxxn\Documents\Electrical\Datasheets\LTA-1000HR.pdf"
"","","DS1","WC1602A","Display_Character:WC1602A","Display:WC1602A","http://www.wincomlcd.com/pdf/WC1602A-SFYLYHTC06.pdf"
"","","ENC1","Encoder1","Device:RotaryEncoder_Switch","Daxxn_Switches:PEC12R","~"
"","","ENC2","Encoder2","Device:RotaryEncoder_Switch","Daxxn_Switches:PEC12R","~"
"","","H1","M2.5","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.5mm_Pad","~"
"","","H2","M2.5","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.5mm_Pad","~"
"","","H3","M2.5","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.5mm_Pad","~"
"","","H4","M2.5","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.5mm_Pad","~"
"","","J1","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"","","J2","DEBUG-CONN","Connector:Conn_01x04_Male","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"","","J3","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"","","J4","B24B-PHDSS(LF)(SN)","Connector_Generic:Conn_02x12_Odd_Even","Daxxn_Connectors:B24B-PHDSS(LF)(SN)","~"
"","","J5","B24B-PHDSS(LF)(SN)","Connector_Generic:Conn_02x12_Odd_Even","Daxxn_Connectors:B24B-PHDSS(LF)(SN)","~"
"","","JP1","BRT-JMP","Jumper:Jumper_3_Bridged12","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"","","R1","120${R}","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R2","560Ω","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R3","${LED-RES}","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R4","${LED-RES}","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R5","470Ω","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R6","${LED-RES}","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R7","3KΩ","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R8","5.6KΩ","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R9","${P-RES}","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R10","${P-RES}","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R11","${P-RES}","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R12","${P-RES}","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R13","220${R}","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R14","220${R}","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R15","220${R}","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R17","${P-RES}","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"","","RV1","10K${R}","Device:R_Potentiometer_US","Daxxn_Switches:PT01-D120K2-B103","~"
"","","RV2","1K${R}","Device:R_Potentiometer_US","Daxxn_Switches:PT01-D120K2-B103","~"
"","","S-ACT1","ILS","Daxxn_Buttons:ILS","Daxxn_Switches:ILS-TB","C:\Users\Daxxn\Documents\Electrical\Datasheets\ILS-Series.pdf"
"","","S-BCK1","ILS","Daxxn_Buttons:ILS","Daxxn_Switches:ILS-TB","C:\Users\Daxxn\Documents\Electrical\Datasheets\ILS-Series.pdf"
"","","S-DWN1","ILS","Daxxn_Buttons:ILS","Daxxn_Switches:ILS-TB","C:\Users\Daxxn\Documents\Electrical\Datasheets\ILS-Series.pdf"
"","","S-LFT1","ILS","Daxxn_Buttons:ILS","Daxxn_Switches:ILS-TB","C:\Users\Daxxn\Documents\Electrical\Datasheets\ILS-Series.pdf"
"","","S-RGT1","ILS","Daxxn_Buttons:ILS","Daxxn_Switches:ILS-TB","C:\Users\Daxxn\Documents\Electrical\Datasheets\ILS-Series.pdf"
"","","S-UP1","ILS","Daxxn_Buttons:ILS","Daxxn_Switches:ILS-TB","C:\Users\Daxxn\Documents\Electrical\Datasheets\ILS-Series.pdf"
"","","SW1","RESET-SW","Switch:SW_SPST","Daxxn_Switches:TL3365AF180QG","~"
"","","U1","STP16CP05","Driver_LED:STP16CP05","Package_SO:SOIC-24W_7.5x15.4mm_P1.27mm","https://www.st.com/resource/en/datasheet/stp16cp05.pdf"
"","","U2","TPL0401B-10-Q1","Potentiometer_Digital:TPL0401B-10-Q1","Package_TO_SOT_SMD:Texas_R-PDSO-G6","http://www.ti.com/lit/ds/symlink/tpl0401a-10-q1.pdf"
"","","U3","74AUP2G04","Daxxn_Logic:74AUP2G04","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.diodes.com/assets/Datasheets/74AUP2G04.pdf"
"","","U4","PC817","Isolator:PC817","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","4","C1, C2, C3, C4","${D-CAP}","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","~"
"2","4","C5, C6, C7, C8","${D-CAP}","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"3","1","C9","1uF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","~"
"4","1","D1","IN4848","Device:D_Small","Diode_SMD:D_SOD-323_HandSoldering","~"
"5","2","D-AUDIO-SEL1, D-STRIP-EN1","GREEN","Device:LED","Daxxn_LEDs:LED_PLCC-2","~"
"6","1","D-DBG1","RED","Device:LED","Daxxn_LEDs:LED_PLCC-2","~"
"7","1","D-STA1","ORANGE","Device:LED","Daxxn_LEDs:LED_PLCC-2","~"
"8","2","D-VCC1, D-VDRIVE1","YELLOW","Device:LED","Daxxn_LEDs:LED_PLCC-2","~"
"9","1","DA1","LTA-1000HR","Daxxn_Displays:LTA-1000HR","Display:HDSP-48xx","C:\Users\Daxxn\Documents\Electrical\Datasheets\LTA-1000HR.pdf"
"10","1","DS1","WC1602A","Display_Character:WC1602A","Display:WC1602A","http://www.wincomlcd.com/pdf/WC1602A-SFYLYHTC06.pdf"
"11","1","ENC1","Encoder1","Device:RotaryEncoder_Switch","Daxxn_Switches:PEC12R","~"
"12","1","ENC2","Encoder2","Device:RotaryEncoder_Switch","Daxxn_Switches:PEC12R","~"
"13","4","H1, H2, H3, H4","M2.5","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.5mm_Pad","~"
"14","2","J1, J3","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"15","1","J2","DEBUG-CONN","Connector:Conn_01x04_Male","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"16","2","J4, J5","B24B-PHDSS(LF)(SN)","Connector_Generic:Conn_02x12_Odd_Even","Daxxn_Connectors:B24B-PHDSS(LF)(SN)","~"
"17","1","JP1","BRT-JMP","Jumper:Jumper_3_Bridged12","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"18","1","R1","120${R}","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"19","1","R2","560Ω","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"20","3","R3, R4, R6","${LED-RES}","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"21","1","R5","470Ω","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"22","1","R7","3KΩ","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"23","1","R8","5.6KΩ","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"24","5","R9, R10, R11, R12, R17","${P-RES}","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"25","3","R13, R14, R15","220${R}","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"26","1","RV1","10K${R}","Device:R_Potentiometer_US","Daxxn_Switches:PT01-D120K2-B103","~"
"27","1","RV2","1K${R}","Device:R_Potentiometer_US","Daxxn_Switches:PT01-D120K2-B103","~"
"28","6","S-ACT1, S-BCK1, S-DWN1, S-LFT1, S-RGT1, S-UP1","ILS","Daxxn_Buttons:ILS","Daxxn_Switches:ILS-TB","C:\Users\Daxxn\Documents\Electrical\Datasheets\ILS-Series.pdf"
"29","1","SW1","RESET-SW","Switch:SW_SPST","Daxxn_Switches:TL3365AF180QG","~"
"30","1","U1","STP16CP05","Driver_LED:STP16CP05","Package_SO:SOIC-24W_7.5x15.4mm_P1.27mm","https://www.st.com/resource/en/datasheet/stp16cp05.pdf"
"31","1","U2","TPL0401B-10-Q1","Potentiometer_Digital:TPL0401B-10-Q1","Package_TO_SOT_SMD:Texas_R-PDSO-G6","http://www.ti.com/lit/ds/symlink/tpl0401a-10-q1.pdf"
"32","1","U3","74AUP2G04","Daxxn_Logic:74AUP2G04","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.diodes.com/assets/Datasheets/74AUP2G04.pdf"
"33","1","U4","PC817","Isolator:PC817","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
