"Ref","Value","Footprint","Datasheet","Pins","Library","Symbol","PartNumber"
"C1","100nF","Capacitor_SMD:C_0603_1608Metric","~","2","Device","C_Small",""
"C2","100nF","Capacitor_SMD:C_0603_1608Metric","~","2","Device","C_Small",""
"C3","100nF","Capacitor_SMD:C_0603_1608Metric","~","2","Device","C_Small",""
"C4","100nF","Capacitor_SMD:C_0603_1608Metric","~","2","Device","C_Small",""
"C5","100nF","Capacitor_SMD:C_0805_2012Metric","~","2","Device","C_Small",""
"C6","100nF","Capacitor_SMD:C_0805_2012Metric","~","2","Device","C_Small",""
"C7","100nF","Capacitor_SMD:C_0805_2012Metric","~","2","Device","C_Small",""
"C8","100nF","Capacitor_SMD:C_0805_2012Metric","~","2","Device","C_Small",""
"C9","1uF","Capacitor_SMD:C_0603_1608Metric","~","2","Device","C_Small",""
"D1","IN4848","Diode_SMD:D_SOD-323_HandSoldering","~","2","Device","D_Small",""
"D-AUDIO-SEL1","GREEN","Daxxn_LEDs:LED_PLCC-2","~","2","Device","LED",""
"D-DBG1","RED","Daxxn_LEDs:LED_PLCC-2","~","2","Device","LED",""
"D-STA1","ORANGE","Daxxn_LEDs:LED_PLCC-2","~","2","Device","LED",""
"D-STRIP-EN1","GREEN","Daxxn_LEDs:LED_PLCC-2","~","2","Device","LED",""
"D-VCC1","YELLOW","Daxxn_LEDs:LED_PLCC-2","~","2","Device","LED",""
"D-VDRIVE1","YELLOW","Daxxn_LEDs:LED_PLCC-2","~","2","Device","LED",""
"DA1","LTA-1000HR","Display:HDSP-48xx","C:\Users\Daxxn\Documents\Electrical\Datasheets\LTA-1000HR.pdf","20","Daxxn_Displays","LTA-1000HR",""
"DS1","WC1602A","Display:WC1602A","http://www.wincomlcd.com/pdf/WC1602A-SFYLYHTC06.pdf","16","Display_Character","WC1602A",""
"ENC1","Encoder1","Daxxn_Switches:PEC12R","~","5","Device","RotaryEncoder_Switch",""
"ENC2","Encoder2","Daxxn_Switches:PEC12R","~","5","Device","RotaryEncoder_Switch",""
"H1","M2.5","MountingHole:MountingHole_2.5mm_Pad","~","1","Mechanical","MountingHole_Pad",""
"H2","M2.5","MountingHole:MountingHole_2.5mm_Pad","~","1","Mechanical","MountingHole_Pad",""
"H3","M2.5","MountingHole:MountingHole_2.5mm_Pad","~","1","Mechanical","MountingHole_Pad",""
"H4","M2.5","MountingHole:MountingHole_2.5mm_Pad","~","1","Mechanical","MountingHole_Pad",""
"J1","Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","4","Connector","Conn_01x04_Male",""
"J2","DEBUG-CONN","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~","4","Connector","Conn_01x04_Male",""
"J3","Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","4","Connector","Conn_01x04_Male",""
"J-INTERFACE1","INTERFACE CONN","Daxxn_Connectors:5025984593","~","46","Daxxn_Connectors","Conn_2-45-M_Odd_Even",""
"JP1","BRT-JMP","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","3","Jumper","Jumper_3_Bridged12",""
"R1","120Ω","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R2","560Ω","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R3","330Ω","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R4","330Ω","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R5","470Ω","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R6","330Ω","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R7","3KΩ","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R8","5.6KΩ","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R9","10KΩ","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R10","10KΩ","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R11","10KΩ","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R12","10KΩ","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R13","220Ω","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R14","220Ω","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R15","220Ω","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R17","10KΩ","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"RV1","10KΩ","Daxxn_Switches:PT01-D120K2-B103","~","3","Device","R_Potentiometer_US",""
"RV2","1KΩ","Daxxn_Switches:PT01-D120K2-B103","~","3","Device","R_Potentiometer_US",""
"S-ACT1","ILS","Daxxn_Switches:ILS-TB","C:\Users\Daxxn\Documents\Electrical\Datasheets\ILS-Series.pdf","4","Daxxn_Buttons","ILS",""
"S-BCK1","ILS","Daxxn_Switches:ILS-TB","C:\Users\Daxxn\Documents\Electrical\Datasheets\ILS-Series.pdf","4","Daxxn_Buttons","ILS",""
"S-DWN1","ILS","Daxxn_Switches:ILS-TB","C:\Users\Daxxn\Documents\Electrical\Datasheets\ILS-Series.pdf","4","Daxxn_Buttons","ILS",""
"S-LFT1","ILS","Daxxn_Switches:ILS-TB","C:\Users\Daxxn\Documents\Electrical\Datasheets\ILS-Series.pdf","4","Daxxn_Buttons","ILS",""
"S-RGT1","ILS","Daxxn_Switches:ILS-TB","C:\Users\Daxxn\Documents\Electrical\Datasheets\ILS-Series.pdf","4","Daxxn_Buttons","ILS",""
"S-UP1","ILS","Daxxn_Switches:ILS-TB","C:\Users\Daxxn\Documents\Electrical\Datasheets\ILS-Series.pdf","4","Daxxn_Buttons","ILS",""
"SW1","RESET-SW","Daxxn_Switches:TL3365AF180QG","~","2","Switch","SW_SPST",""
"U1","STP16CP05","Package_SO:SOIC-24W_7.5x15.4mm_P1.27mm","https://www.st.com/resource/en/datasheet/stp16cp05.pdf","24","Driver_LED","STP16CP05",""
"U2","TPL0401B-10-Q1","Package_TO_SOT_SMD:Texas_R-PDSO-G6","http://www.ti.com/lit/ds/symlink/tpl0401a-10-q1.pdf","6","Potentiometer_Digital","TPL0401B-10-Q1",""
"U3","74AUP2G04","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.diodes.com/assets/Datasheets/74AUP2G04.pdf","6","Daxxn_Logic","74AUP2G04",""
"U4","PC817","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf","4","Isolator","PC817",""
end
"Source","F:\Electrical\Designs\Projects\LightDrum\LightDrumInterface\LightDrumInterface.kicad_sch"
"Date","1/1/2023 6:25:42 PM"
"PartCount","58"
