"Ref","Value","Footprint","Datasheet","Pins","Library","Symbol","PartNumber"
"C1","100nF","Capacitor_SMD:C_0603_1608Metric","~","2","Device","C_Small",""
"C2","100nF","Capacitor_SMD:C_0603_1608Metric","~","2","Device","C_Small",""
"C3","1uF","Capacitor_SMD:C_0603_1608Metric","~","2","Device","C_Small",""
"C4","100nF","Capacitor_SMD:C_0603_1608Metric","~","2","Device","C_Small",""
"C5","100nF","Capacitor_SMD:C_0805_2012Metric","~","2","Device","C_Small",""
"C6","100nF","Capacitor_SMD:C_0805_2012Metric","~","2","Device","C_Small",""
"C7","100nF","Capacitor_SMD:C_0805_2012Metric","~","2","Device","C_Small",""
"C8","100nF","Capacitor_SMD:C_0805_2012Metric","~","2","Device","C_Small",""
"C9","100nF","Capacitor_SMD:C_0603_1608Metric","~","2","Device","C_Small",""
"D1","IN4848","Diode_SMD:D_SOD-323_HandSoldering","~","2","Device","D_Small",""
"D-AUDIO-SEL1","GREEN","LED_SMD:LED_0805_2012Metric","~","2","Device","LED",""
"D-BK1","RED","LED_SMD:LED_0805_2012Metric","~","2","Device","LED",""
"D-BK2","RED","LED_SMD:LED_0805_2012Metric","~","2","Device","LED",""
"D-BK3","RED","LED_SMD:LED_0805_2012Metric","~","2","Device","LED",""
"D-BK4","RED","LED_SMD:LED_0805_2012Metric","~","2","Device","LED",""
"D-DBG1","RED","LED_SMD:LED_0805_2012Metric","~","2","Device","LED",""
"D-MB1","RED","LED_SMD:LED_0805_2012Metric","~","2","Device","LED_Small",""
"D-MD1","RED","LED_SMD:LED_0805_2012Metric","~","2","Device","LED_Small",""
"D-ML1","RED","LED_SMD:LED_0805_2012Metric","~","2","Device","LED_Small",""
"D-MR1","RED","LED_SMD:LED_0805_2012Metric","~","2","Device","LED_Small",""
"D-MU1","RED","LED_SMD:LED_0805_2012Metric","~","2","Device","LED_Small",""
"D-STA1","ORANGE","LED_SMD:LED_0805_2012Metric","~","2","Device","LED",""
"D-STRIP-EN1","GREEN","LED_SMD:LED_0805_2012Metric","~","2","Device","LED",""
"D-VCC1","YELLOW","LED_SMD:LED_0805_2012Metric","~","2","Device","LED",""
"D-VDD1","YELLOW","LED_SMD:LED_0805_2012Metric","~","2","Device","LED",""
"D-VDRIVE1","YELLOW","LED_SMD:LED_0805_2012Metric","~","2","Device","LED",""
"DA1","LTA-1000HR","Display:HDSP-48xx","C:\Users\Daxxn\Documents\Electrical\Datasheets\LTA-1000HR.pdf","20","Daxxn_Displays","LTA-1000HR",""
"DS1","NX4024K032","Daxxn_Displays:NX4024K032-RA-S04B","https://nextion.tech/datasheets/nx4024k032/","4","Daxxn_Displays","NX4024T032",""
"ENC1","Encoder1","Daxxn_Switches:PEC11R","~","5","Device","RotaryEncoder_Switch",""
"ENC2","Encoder2","Daxxn_Switches:PEC11R","~","5","Device","RotaryEncoder_Switch",""
"J1","MIDI-IN","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","4","Connector","Conn_01x04_Male",""
"J3","DEBUG-CONN","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~","4","Connector","Conn_01x04_Male",""
"J4","PWR-CONN","Daxxn_Connectors:JST_XH_B2B-XH-A_Vertical","~","2","Connector","Conn_01x02_Male",""
"J5","MIDI-OUT","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","4","Connector","Conn_01x04_Male",""
"J6","0541323662","Daxxn_Connectors:0541323662","~","37","Daxxn_Connectors","0541323662",""
"JP1","BRT-JMP","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","3","Jumper","Jumper_3_Bridged12",""
"Q1","NX6008NBKWX","Package_TO_SOT_SMD:SOT-323_SC-70","%LOCAL_DATASHEETS%/NX6008NBKW.pdf","3","Daxxn_Transistors","NX6008NBKWX","0703-0004"
"Q2","NX6008NBKWX","Package_TO_SOT_SMD:SOT-323_SC-70","%LOCAL_DATASHEETS%/NX6008NBKW.pdf","3","Daxxn_Transistors","NX6008NBKWX","0703-0004"
"Q3","NX6008NBKWX","Package_TO_SOT_SMD:SOT-323_SC-70","%LOCAL_DATASHEETS%/NX6008NBKW.pdf","3","Daxxn_Transistors","NX6008NBKWX","0703-0004"
"Q4","NX6008NBKWX","Package_TO_SOT_SMD:SOT-323_SC-70","%LOCAL_DATASHEETS%/NX6008NBKW.pdf","3","Daxxn_Transistors","NX6008NBKWX","0703-0004"
"R1","100","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R2","550","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R3","620","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R4","100","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R5","10K","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R6","10K","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R7","10K","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R8","10K","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R9","100","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R10","100","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R11","100","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R12","100","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R13","1.3K","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R14","560","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R15","4.7K","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R16","560Ω","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R17","10KΩ","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R18","10KΩ","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R19","220Ω","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R20","10KΩ","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R21","10KΩ","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R22","10KΩ","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R23","220Ω","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R24","220Ω","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"S-BCK1","M-BACK","Daxxn_Switches:TL3365AF180QG","~","2","Switch","SW_SPST",""
"SN1","JS5208","Daxxn_Switches:JS5208","https://configured-product-images.s3.amazonaws.com/2D/specs/P200020.pdf","6","Daxxn_Buttons","JS5208",""
"SW1","RESET-SW","Daxxn_Switches:TL3365AF180QG","~","2","Switch","SW_SPST",""
"U1","STP16CP05","Package_SO:SOIC-24W_7.5x15.4mm_P1.27mm","https://www.st.com/resource/en/datasheet/stp16cp05.pdf","24","Driver_LED","STP16CP05",""
"U2","TPL0401B-10-Q1","Package_TO_SOT_SMD:Texas_R-PDSO-G6","http://www.ti.com/lit/ds/symlink/tpl0401a-10-q1.pdf","6","Potentiometer_Digital","TPL0401B-10-Q1",""
"U3","PC817","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf","4","Isolator","PC817",""
"U4","74AUP2G04","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.diodes.com/assets/Datasheets/74AUP2G04.pdf","6","Daxxn_Logic","74AUP2G04",""
end
"Source","F:\Electrical\Designs\Projects\LightDrum\LightDrumInterface\LightDrumInterface.kicad_sch"
"Date","1/29/2023 6:04:40 PM"
"PartCount","71"
