Designator,Mid X,Mid Y,Rotation,Layer
C1,-22.2,23.05,270.0,bottom
C10,27.55,-16.4,270.0,top
C11,33.45,-14.35,0.0,top
C12,33.45,-12.75,0.0,top
C13,26.3,-12.55,180.0,top
C14,26.5,-7.55,0.0,top
C15,25.5,6.5,180.0,top
C16,34.3,-8.0,270.0,top
C17,31.95,-8.7,270.0,top
C18,46.95,-18.4,180.0,top
C19,34.7,-23.4,90.0,top
C2,-22.2,25.15,90.0,bottom
C20,24.4,-30.05,270.0,top
C21,45.8,-11.05,180.0,top
C22,49.15,-11.7,0.0,top
C23,36.5,-30.2,90.0,top
C24,38.1,-30.2,90.0,top
C25,41.7,-28.55,180.0,top
C26,32.0,-30.95,270.0,top
C27,26.75,-30.85,270.0,top
C28,24.4,-28.16,90.0,top
C29,25.5,-34.9,0.0,top
C3,1.9,-28.75,315.0,top
C30,21.625,-34.275,180.0,top
C31,25.75,-37.15,0.0,top
C32,25.75,-38.95,0.0,top
C33,-9.6,1.8,0.0,bottom
C34,3.95,1.8,0.0,bottom
C35,18.4,-36.150001,180.0,top
C36,16.95,-21.95,225.0,top
C37,2.0,-7.15,45.0,top
C38,10.5,-6.75,45.0,top
C39,9.2,-6.25,45.0,top
C4,-5.35,-14.4,135.0,top
C40,20.5,-17.45,90.0,top
C41,9.9,-9.1,135.0,top
C42,4.45,-29.85,225.0,top
C43,11.25,-16.7,225.0,bottom
C44,9.9,-14.9,315.0,bottom
C45,-7.5,-14.3,45.0,top
C46,16.2,-20.775,225.0,top
C47,3.75,-29.15,225.0,top
C48,-6.8,-15.0,45.0,top
C49,29.95,9.45,270.0,top
C5,15.95,-13.1,135.0,top
C50,-17.5,16.05,180.0,top
C51,35.2,16.15,0.0,top
C52,9.9,10.6875,180.0,top
C53,-34.7,9.0,0.0,top
C54,-33.25,10.7,0.0,top
C55,-44.9,8.15,180.0,bottom
C56,-44.35,15.6,180.0,bottom
C57,-44.9,11.299999,180.0,bottom
C58,-44.9,13.6,180.0,bottom
