EAGLE Version 9.7.0 Copyright (c) 1988-2022 Autodesk, Inc.
List of signals with lengthSignal	l [mm]	diff. [mm]	diff. [%]	unrouted [mm]
MEM-WP	0.000000000	0.000000000	--	--
MIDI-GND	0.000000000	0.000000000	--	--
N$1	0.000000000	0.000000000	--	--
N$40	0.000000000	0.000000000	--	--
N$44	0.000000000	0.000000000	--	--
N$54	0.000000000	0.000000000	--	--
N$55	0.000000000	0.000000000	--	--
N$57	0.000000000	0.000000000	--	--
N$59	0.000000000	0.000000000	--	--
N$60	0.000000000	0.000000000	--	--
N$61	0.000000000	0.000000000	--	--
RAW-OUT	0.000000000	0.000000000	--	--
N$56	1.586200000	1.586200000	--	--
N$53	2.021029264	2.021029264	--	--
N$62	2.255500000	2.255500000	--	--
N$63	2.255500000	2.255500000	--	--
N$64	2.255500000	2.255500000	--	--
N$42	2.318306536	2.318306536	--	--
N$23	2.506934371	2.506934371	--	--
N$47	2.585024387	2.585024387	--	--
N$48	2.705107648	2.705107648	--	--
N$26	2.823971609	2.823971609	--	--
N$18	3.065041774	3.065041774	--	--
N$13	3.290680733	3.290680733	--	--
N$49	3.290680733	3.290680733	--	--
N$20	3.290680733	3.290680733	--	--
N$46	3.290680733	3.290680733	--	--
N$5	3.586952380	3.586952380	--	--
N$29	3.601300000	3.601300000	--	--
N$24	3.615983910	3.615983910	--	--
PWR-FB	3.852641882	3.852641882	--	--
N$12	3.949140979	3.949140979	--	--
N$52	4.056028858	4.056028858	--	--
N$31	4.127351224	4.127351224	--	--
N$41	4.341254109	4.341254109	--	--
N$39	4.814315566	4.814315566	--	--
N$32	4.950981959	4.950981959	--	--
N$8	5.220081652	5.220081652	--	--
N$45	5.680105078	5.680105078	--	--
N$50	5.689830779	5.689830779	--	--
N$33	6.072192204	6.072192204	--	--
N$21	6.190765148	6.190765148	--	--
N$15	6.215396390	6.215396390	--	--
N$51	6.384447978	6.384447978	--	--
N$34	7.267797326	7.267797326	--	--
N$43	7.396089032	7.396089032	--	--
N$19	7.410732123	7.410732123	--	--
N$65	7.792443428	7.792443428	--	--
N$58	8.365122961	8.365122961	--	--
LED3-G-SIG-M	8.667286435	8.667286435	--	--
N$35	9.207351224	9.207351224	--	--
LED4-R-SIG-M	9.298547904	9.298547904	--	--
LED1-B-SIG-M	9.512513374	9.512513374	--	--
LED2-G-SIG-M	9.986153027	9.986153027	--	--
LED4-G-SIG-M	10.080266591	10.080266591	--	--
N$36	10.626140979	10.626140979	--	--
N$16	10.869178394	10.869178394	--	--
LED8-G-SIG	11.018975754	11.018975754	--	--
LED6-R	11.095772798	11.095772798	--	--
N$9	11.146118488	11.146118488	--	--
LED5-B	11.407675611	11.407675611	--	--
LED6-G	11.576260531	11.576260531	--	--
LED2-B-SIG-M	11.604266591	11.604266591	--	--
N$10	11.625886945	11.625886945	--	--
MAIN-RELAY	11.714785384	11.714785384	--	--
LED3-R-SIG-M	11.733337659	11.733337659	--	--
LED7-G	11.862067889	11.862067889	--	--
N$37	11.896140979	11.896140979	--	--
LED6-B	12.052606127	12.052606127	--	--
N$11	12.195313338	12.195313338	--	--
LED2-B-SIG	12.213988247	12.213988247	--	--
N$17	12.311077579	12.311077579	--	--
LED5-R	12.342555621	12.342555621	--	--
LED6-R-SIG	12.384822651	12.384822651	--	--
N$3	12.391213850	12.391213850	--	--
N$30	12.649022938	12.649022938	--	--
LED4-G-SIG	12.786686284	12.786686284	--	--
LED3-B-SIG-M	12.831809077	12.831809077	--	--
N$25	13.020516949	13.020516949	--	--
LED4-B-SIG-M	13.034153027	13.034153027	--	--
LED6-B-SIG	13.217717652	13.217717652	--	--
LED1-G-SIG	13.379187972	13.379187972	--	--
LED7-R	13.488455116	13.488455116	--	--
LED2-R-SIG	13.595666589	13.595666589	--	--
LED1-B-SIG	13.623425263	13.623425263	--	--
N$38	13.688362413	13.688362413	--	--
N$28	13.960802448	13.960802448	--	--
N$6	14.151136878	14.151136878	--	--
LED3-R-SIG	14.175075277	14.175075277	--	--
LED5-G	14.192127481	14.192127481	--	--
LED5-G-SIG	14.295093345	14.295093345	--	--
LED5-B-SIG	14.349960291	14.349960291	--	--
LED7-G-SIG	14.452927417	14.452927417	--	--
LED8-B-SIG	14.572788483	14.572788483	--	--
LED1-R-SIG-M	14.624316489	14.624316489	--	--
LED7-B-SIG	14.703186568	14.703186568	--	--
LED8-G	14.831856021	14.831856021	--	--
RAW-INPUT	14.908798367	14.908798367	--	--
LED2-R-SIG-M	15.057515329	15.057515329	--	--
N$22	15.372902233	15.372902233	--	--
N$4	15.422519418	15.422519418	--	--
LED7-B	15.452723961	15.452723961	--	--
N$27	15.538956121	15.538956121	--	--
LED3-G-SIG	15.605446576	15.605446576	--	--
N$7	15.608404520	15.608404520	--	--
LED4-B-SIG	15.653233943	15.653233943	--	--
LED1-R-SIG	15.659546377	15.659546377	--	--
LED7-R-SIG	15.809746384	15.809746384	--	--
LED2-G-SIG	15.923808460	15.923808460	--	--
LED3-B-SIG	16.694081731	16.694081731	--	--
LED8-G-SIG-M	16.741764353	16.741764353	--	--
LED8-R-SIG	17.092081852	17.092081852	--	--
LED5-R-SIG	17.381237606	17.381237606	--	--
LED8-R	17.387088191	17.387088191	--	--
LED6-G-SIG	17.572051506	17.572051506	--	--
LED7-G-SIG-M	17.854019146	17.854019146	--	--
LED5-B-SIG-M	17.904446013	17.904446013	--	--
LED2-R	18.163843866	18.163843866	--	--
AUDIO-OUT	18.182667631	18.182667631	--	--
LED1-G-SIG-M	18.233249411	18.233249411	--	--
LED3-G	18.449651224	18.449651224	--	--
LED6-B-SIG-M	18.525358613	18.525358613	--	--
LED2-B	18.640189463	18.640189463	--	--
PWR1-SW	18.653936034	18.653936034	--	--
LED4-R-SIG	18.886384972	18.886384972	--	--
LED1-B	18.930138957	18.930138957	--	--
LED6-G-SIG-M	19.048440248	19.048440248	--	--
PWR2-SW	19.099682530	19.099682530	--	--
LED2-G	19.120677195	19.120677195	--	--
LED3-R	19.406484553	19.406484553	--	--
LED8-B	19.407698707	19.407698707	--	--
LED8-R-SIG-M	19.536358060	19.536358060	--	--
IND-LED-2	19.781704897	19.781704897	--	--
LED1-R	19.886972286	19.886972286	--	--
LED4-G	20.172779644	20.172779644	--	--
LED7-B-SIG-M	20.839000210	20.839000210	--	--
LED1-G	20.843805615	20.843805615	--	--
LED5-R-SIG-M	21.347301624	21.347301624	--	--
LED3-B	21.589574551	21.589574551	--	--
LED7-R-SIG-M	21.705664988	21.705664988	--	--
IND-LED-3	21.749304396	21.749304396	--	--
LED6-R-SIG-M	21.753620700	21.753620700	--	--
LED4-R	23.358621897	23.358621897	--	--
LED5-G-SIG-M	25.130681870	25.130681870	--	--
LED8-B-SIG-M	25.524206275	25.524206275	--	--
N$14	25.687608680	25.687608680	--	--
SPECT-CS	25.911420202	25.911420202	--	--
LED4-B	26.266795662	26.266795662	--	--
IND-LED-1	27.325120039	27.325120039	--	--
M-UP-IND	27.662146074	27.662146074	--	--
N$2	30.505140538	30.505140538	--	--
LCD-D3	34.051840875	34.051840875	--	--
LCD-D4	34.336767544	34.336767544	--	--
IND-LED-4	34.458478834	34.458478834	--	--
LCD-D2	34.556270257	34.556270257	--	--
M-UP	34.952440890	34.952440890	--	--
